company_name,company_price_intraday,company_symbol_link
Marvell Technology Group Ltd.,24.15,https://finance.yahoo.com/sector/ms_technology//quote/MRVL?p=MRVL
STMicroelectronics N.V.,17.72,https://finance.yahoo.com/sector/ms_technology//quote/STM?p=STM
Garmin Ltd.,81.15,https://finance.yahoo.com/sector/ms_technology//quote/GRMN?p=GRMN
"Take-Two Interactive Software, Inc.",132.15,https://finance.yahoo.com/sector/ms_technology//quote/TTWO?p=TTWO
"Maxim Integrated Products, Inc.",54.47,https://finance.yahoo.com/sector/ms_technology//quote/MXIM?p=MXIM
"Paycom Software, Inc.",249.26,https://finance.yahoo.com/sector/ms_technology//quote/PAYC?p=PAYC
"Akamai Technologies, Inc.",88.83,https://finance.yahoo.com/sector/ms_technology//quote/AKAM?p=AKAM
"Slack Technologies, Inc.",28.63,https://finance.yahoo.com/sector/ms_technology//quote/WORK?p=WORK
Sea Limited,32.00,https://finance.yahoo.com/sector/ms_technology//quote/SE?p=SE
"Okta, Inc.",123.52,https://finance.yahoo.com/sector/ms_technology//quote/OKTA?p=OKTA
"Fortinet, Inc.",79.22,https://finance.yahoo.com/sector/ms_technology//quote/FTNT?p=FTNT
"Lyft, Inc.",48.09,https://finance.yahoo.com/sector/ms_technology//quote/LYFT?p=LYFT
Seagate Technology plc,50.20,https://finance.yahoo.com/sector/ms_technology//quote/STX?p=STX
"iQIYI, Inc.",18.13,https://finance.yahoo.com/sector/ms_technology//quote/IQ?p=IQ
"Skyworks Solutions, Inc.",75.11,https://finance.yahoo.com/sector/ms_technology//quote/SWKS?p=SWKS
"Leidos Holdings, Inc.",87.71,https://finance.yahoo.com/sector/ms_technology//quote/LDOS?p=LDOS
"Citrix Systems, Inc.",93.00,https://finance.yahoo.com/sector/ms_technology//quote/CTXS?p=CTXS
"Gartner, Inc.",134.02,https://finance.yahoo.com/sector/ms_technology//quote/IT?p=IT
Yandex N.V.,36.83,https://finance.yahoo.com/sector/ms_technology//quote/YNDX?p=YNDX
